Дата;Регион;Значение;REGION
2019-12-28;Республика Татарстан;94.0;Татарстан
2019-12-28;Самарская область;89.0;Самарская обл.
2019-12-28;Саратовская область;88.0;Саратовская обл.
2019-12-28;Ульяновская область;93.0;Ульяновская обл.
2019-12-28;Чувашская Республика;96.0;Чувашия
2019-12-29;Мордовия;81.0;Мордовия
2019-12-29;Нижегородская область;81.0;Нижегородская обл.
2019-12-29;Пензенская область;83.0;Пензенская обл.
2019-12-29;Республика Марий Эл;77.0;Марий Эл
2019-12-29;Республика Татарстан;84.0;Татарстан
2019-12-29;Самарская область;83.0;Самарская обл.
2019-12-29;Саратовская область;81.0;Саратовская обл.
2019-12-29;Ульяновская область;82.0;Ульяновская обл.
2019-12-29;Чувашская Республика;83.0;Чувашия
2019-12-30;Мордовия;100.0;Мордовия
2019-12-30;Нижегородская область;100.0;Нижегородская обл.
2019-12-30;Пензенская область;100.0;Пензенская обл.
2019-12-30;Республика Марий Эл;100.0;Марий Эл
2019-12-30;Республика Татарстан;100.0;Татарстан
2019-12-30;Самарская область;100.0;Самарская обл.
2019-12-30;Саратовская область;100.0;Саратовская обл.
2019-12-30;Ульяновская область;100.0;Ульяновская обл.
2019-12-30;Чувашская Республика;100.0;Чувашия
2019-12-31;Мордовия;92.0;Мордовия
2019-12-31;Нижегородская область;85.0;Нижегородская обл.
2019-12-31;Пензенская область;89.0;Пензенская обл.
2019-12-31;Республика Марий Эл;92.0;Марий Эл
2019-12-31;Республика Татарстан;79.0;Татарстан
2019-12-31;Самарская область;84.0;Самарская обл.
2019-12-31;Саратовская область;87.0;Саратовская обл.
2019-12-31;Ульяновская область;84.0;Ульяновская обл.
2019-12-31;Чувашская Республика;93.0;Чувашия
2020-01-01;Мордовия;15.0;Мордовия
2020-01-01;Нижегородская область;15.0;Нижегородская обл.
2020-01-01;Пензенская область;15.0;Пензенская обл.
2020-01-01;Республика Марий Эл;14.0;Марий Эл
2020-01-01;Республика Татарстан;18.0;Татарстан
2020-01-01;Самарская область;16.0;Самарская обл.
2020-01-01;Саратовская область;14.0;Саратовская обл.
2020-01-01;Ульяновская область;13.0;Ульяновская обл.
2020-01-01;Чувашская Республика;17.0;Чувашия
2020-01-02;Мордовия;44.0;Мордовия
2020-01-02;Нижегородская область;43.0;Нижегородская обл.
2020-01-02;Пензенская область;45.0;Пензенская обл.
2020-01-02;Республика Марий Эл;41.0;Марий Эл
2020-01-02;Республика Татарстан;44.0;Татарстан
2020-01-02;Самарская область;45.0;Самарская обл.
2020-01-02;Саратовская область;42.0;Саратовская обл.
2020-01-02;Ульяновская область;42.0;Ульяновская обл.
2020-01-02;Чувашская Республика;42.0;Чувашия
2020-01-03;Мордовия;51.0;Мордовия
2020-01-03;Нижегородская область;50.0;Нижегородская обл.
2020-01-03;Пензенская область;55.0;Пензенская обл.
2020-01-03;Республика Марий Эл;49.0;Марий Эл
2020-01-03;Республика Татарстан;51.0;Татарстан
2020-01-03;Самарская область;53.0;Самарская обл.
2020-01-03;Саратовская область;51.0;Саратовская обл.
2020-01-03;Ульяновская область;52.0;Ульяновская обл.
2020-01-03;Чувашская Республика;50.0;Чувашия
2020-01-04;Мордовия;53.0;Мордовия
2020-01-04;Нижегородская область;52.0;Нижегородская обл.
2020-01-04;Пензенская область;53.0;Пензенская обл.
2020-01-04;Республика Марий Эл;53.0;Марий Эл
2020-01-04;Республика Татарстан;52.0;Татарстан
2020-01-04;Самарская область;55.0;Самарская обл.
2020-01-04;Саратовская область;51.0;Саратовская обл.
2020-01-04;Ульяновская область;57.0;Ульяновская обл.
2020-01-04;Чувашская Республика;55.0;Чувашия
2020-01-05;Мордовия;54.0;Мордовия
2020-01-05;Нижегородская область;52.0;Нижегородская обл.
2020-01-05;Пензенская область;55.0;Пензенская обл.
