YEAR;MONTH;DAY;TEMP;VISIB
2017;7;12;65.87070707070707;11.379004329004331
2017;7;13;67.26976911976912;153.60122655122657
2017;7;14;68.07849927849927;153.2263347763348
2017;7;15;73.23137626262627;135.64627525252527
2017;7;16;74.85887445887445;10.895021645021645
2017;7;17;74.60064935064933;152.9939393939394
2017;7;18;65.7534632034632;9.4504329004329
2017;7;19;67.74401154401154;11.00757575757576
2017;7;20;68.55353535353535;11.269047619047617
2017;7;21;66.56962481962482;10.793217893217895
2017;7;22;65.12799422799422;10.415800865800867
2017;7;23;61.87467532467532;8.557575757575759
2017;7;24;62.34098124098124;10.470490620490622
2017;7;25;64.67056277056277;10.820418470418472
2017;7;26;67.91673881673883;11.131529581529582
2017;7;27;72.72965367965368;152.76486291486293
2017;7;28;76.9981240981241;11.121284271284273
2017;7;29;79.7050505050505;153.0217171717172
2017;7;30;75.33477633477635;10.704978354978355
2017;7;31;69.21139971139971;9.414430014430016
2017;8;1;70.1484126984127;9.842279942279943
2017;8;2;70.77344877344878;11.259090909090911
2017;8;3;70.12640692640693;10.613492063492064
2017;8;4;70.68210678210679;10.891125541125541
2017;8;5;70.69357864357865;10.86738816738817
2017;8;6;68.53477633477632;11.52936507936508
2017;8;7;69.82510822510822;153.3163780663781
2017;8;8;67.23703703703706;17.764197530864195
2017;8;9;65.26635802469134;18.68302469135803
2017;8;10;64.25648148148149;18.534259259259258
2017;8;11;66.60216049382716;9.055246913580248
2017;8;12;68.20956790123458;9.130246913580246
2017;8;13;65.92129629629629;18.644753086419755
2017;8;14;65.26111111111112;110.66512345679013
2017;8;15;66.27685185185186;17.99351851851852
2017;8;16;66.33487654320987;18.144444444444446
2017;8;17;65.94382716049381;73.77469135802468
2017;8;18;65.73364197530863;184.19074074074072
2017;8;19;66.6641975308642;202.76419753086418
2017;8;20;68.77345679012346;185.68425925925925
2017;8;21;72.30277777777779;221.21543209876543
2017;8;22;73.46350291683626;41.818620268620265
2017;8;23;74.97308641975309;63.486790123456785
2017;8;24;71.2993827160494;144.00648148148147
2017;8;25;63.188715235381906;19.67813729480396
2017;8;26;62.06018518518518;18.12962962962963
2017;8;27;61.08806267806267;38.076193189526535
2017;8;28;59.99382716049383;8.719753086419754
2017;8;29;60.084567901234564;6.669753086419753
2017;8;30;59.92777777777777;7.393827160493826
2017;8;31;61.32098765432099;8.473456790123457
2017;9;1;63.87561728395062;239.08981481481476
2017;9;2;65.47623456790123;119.333024691358
2017;9;3;60.73456790123456;7.525925925925926
2017;9;4;54.35524691358025;8.848456790123455
2017;9;5;52.34691358024691;9.350617283950616
2017;9;6;53.925000000000004;17.34135802469136
2017;9;7;60.15432098765432;7.048148148148147
2017;9;8;57.279629629629625;7.203086419753087
2017;9;9;55.4212962962963;9.297839506172842
2017;9;10;53.26481481481481;18.813580246913578
2017;9;11;52.99629629629629;17.78055555555556
2017;9;12;64.0895061728395;74.0219135802469
2017;9;13;66.22617283950618;75.64012345679012
2017;9;14;63.8702849002849;10.725099715099716
2017;9;15;63.765555555555565;102.47049382716051
2017;9;16;59.81716049382716;131.22296296296295
2017;9;17;57.32728395061729;20.63604938271605
2017;9;18;61.50518518518519;185.88407407407405
2017;9;19;66.09432098765433;186.1579012345679
2017;9;20;56.23456790123457;130.99185185185186
2017;9;21;52.38975308641975;20.449259259259254
2017;9;22;47.540617283950624;9.724938271604938
2017;9;23;46.450123456790124;130.24135802469138
2017;9;24;46.072345679012344;20.266172839506172
2017;9;25;44.5379012345679;9.012098765432098
2017;9;26;45.05938271604938;9.202345679012346
2017;9;27;42.61604938271605;9.758641975308642
2017;9;28;40.78617283950617;9.708024691358025
2017;9;29;42.53160493827161;8.148024691358025
2017;9;30;43.02376543209877;7.666604938271606
2017;10;1;40.697407407407404;8.44641975308642
2017;10;2;38.342592592592595;9.979259259259258
