;YEAR;MONTH;DAY;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
127;2016;02;03;46564.90277777778;46662.40277777778;47369.708333333336;47464.944444444445
188;2016;02;04;46135.63888888889;46380.083333333336;46955.180555555555;47196.0
249;2016;02;05;45991.48611111111;46156.34722222222;46853.0;47063.5
310;2016;02;06;44613.22222222222;44719.76388888889;45684.5;45964.430555555555
371;2016;02;07;44110.25;44226.97222222222;45196.47222222222;45420.569444444445
432;2016;02;08;46070.09722222222;46227.65277777778;46970.02777777778;47204.930555555555
493;2016;02;09;46018.11111111111;46147.083333333336;46940.458333333336;47082.666666666664
554;2016;02;10;46113.63888888889;46108.38888888889;47036.694444444445;47024.5
615;2016;02;11;46098.59722222222;46120.194444444445;47024.11111111111;47038.069444444445
676;2016;02;12;46113.22222222222;46141.63888888889;46993.791666666664;47109.055555555555
737;2016;02;13;44413.73611111111;44536.458333333336;45667.680555555555;45843.041666666664
798;2016;02;14;43842.916666666664;43831.194444444445;45150.59722222222;45203.125
859;2016;02;15;45886.97222222222;45895.98611111111;46719.680555555555;46742.833333333336
920;2016;02;16;45873.27777777778;45957.666666666664;46680.041666666664;46796.88888888889
981;2016;02;17;45879.02777777778;45922.208333333336;46746.166666666664;46776.72222222222
1042;2016;02;18;45973.055555555555;46031.583333333336;46853.819444444445;46926.15277777778
1103;2016;02;19;45994.958333333336;46033.791666666664;46980.444444444445;46968.61111111111
1164;2016;02;20;45596.02777777778;45594.27777777778;46615.09722222222;46614.75
1225;2016;02;21;44175.055555555555;44123.541666666664;45501.01388888889;45516.375
1286;2016;02;22;44204.26388888889;44165.73611111111;45663.708333333336;45606.11111111111
1347;2016;02;23;43217.194444444445;43492.041666666664;44661.194444444445;44963.22222222222
1408;2016;02;24;45040.11111111111;45215.819444444445;45838.541666666664;46129.76388888889
1469;2016;02;25;44978.51388888889;45078.666666666664;45828.208333333336;45929.76388888889
1530;2016;02;26;44508.61111111111;44630.36111111111;45429.27777777778;45581.805555555555
1591;2016;02;27;43161.694444444445;43175.5;44162.61111111111;44266.194444444445
1652;2016;02;28;42486.430555555555;42543.36111111111;43728.86111111111;43708.86111111111
1712;2016;02;29;44484.041666666664;44570.38888888889;45323.041666666664;45413.51388888889
10;2016;03;01;44834.180555555555;44847.680555555555;45533.23611111111;45608.041666666664
71;2016;03;02;44996.333333333336;44970.52777777778;45758.47222222222;45750.13888888889
132;2016;03;03;44810.22222222222;44809.22222222222;45683.416666666664;45528.333333333336
193;2016;03;04;44448.819444444445;44399.22222222222;45273.583333333336;45220.22222222222
254;2016;03;05;43156.61111111111;43098.61111111111;44218.15277777778;44185.36111111111
315;2016;03;06;42500.98611111111;42484.583333333336;43592.055555555555;43719.194444444445
376;2016;03;07;42411.34722222222;42455.13888888889;43823.40277777778;43797.11111111111
437;2016;03;08;41623.02777777778;41804.61111111111;43006.541666666664;43169.76388888889
498;2016;03;09;43992.680555555555;44042.041666666664;44746.805555555555;44828.25
559;2016;03;10;44022.88888888889;44138.680555555555;44829.52777777778;44909.944444444445
620;2016;03;11;43813.38888888889;43926.86111111111;44667.22222222222;44797.72222222222
681;2016;03;12;42497.166666666664;42492.40277777778;43808.041666666664;43744.75
742;2016;03;13;41626.333333333336;41754.430555555555;42719.930555555555;42873.055555555555
803;2016;03;14;43916.708333333336;44029.51388888889;44543.583333333336;44613.791666666664
864;2016;03;15;44024.72222222222;44184.25;44671.72222222222;44764.319444444445
925;2016;03;16;44146.319444444445;44268.444444444445;44643.055555555555;44771.63888888889
986;2016;03;17;43972.569444444445;44009.319444444445;44395.569444444445;44459.13888888889
1047;2016;03;18;43955.63888888889;43905.36111111111;44329.23611111111;44327.47222222222
1108;2016;03;19;42822.166666666664;42790.48611111111;43682.555555555555;43671.65277777778
1169;2016;03;20;42228.208333333336;42241.569444444445;43090.11111111111;43232.90277777778
1230;2016;03;21;44278.11111111111;44310.680555555555;44715.458333333336;44868.083333333336
1291;2016;03;22;44158.291666666664;44290.75;44589.819444444445;44814.305555555555
1352;2016;03;23;44045.26388888889;44098.944444444445;44332.708333333336;44552.291666666664
1413;2016;03;24;43777.84722222222;43880.694444444445;44085.23611111111;44237.90277777778
1474;2016;03;25;43313.791666666664;43395.86111111111;43728.34722222222;43773.72222222222
1535;2016;03;26;41790.34722222222;41748.63888888889;42711.73611111111;42700.27777777778
1596;2016;03;27;41020.833333333336;41085.77777777778;41687.805555555555;41868.375
1657;2016;03;28;42692.23611111111;42863.47222222222;43031.930555555555;43320.90277777778
1714;2016;03;29;42469.958333333336;42621.069444444445;42823.708333333336;43094.194444444445
1769;2016;03;30;42270.805555555555;42358.875;42717.73611111111;42851.25
1824;2016;03;31;42134.805555555555;42217.51388888889;42563.208333333336;42695.34722222222
15;2016;04;01;42021.416666666664;42106.125;42480.555555555555;42520.72222222222
76;2016;04;02;40835.958333333336;40715.125;41419.180555555555;41296.180555555555
137;2016;04;03;40237.625;40201.65277777778;40967.875;40797.916666666664
198;2016;04;04;41984.694444444445;42031.930555555555;42331.84722222222;42450.569444444445
259;2016;04;05;41845.47222222222;41984.694444444445;42254.069444444445;42450.944444444445
320;2016;04;06;41758.555555555555;41838.02777777778;42242.944444444445;42327.90277777778
381;2016;04;07;41613.47222222222;41657.02777777778;42070.930555555555;42092.23611111111
442;2016;04;08;41206.166666666664;41280.125;41534.333333333336;41666.791666666664
503;2016;04;09;39464.77777777778;39498.40277777778;40144.875;40239.27777777778
564;2016;04;10;38788.98611111111;38744.63888888889;39479.76388888889;39520.02777777778
625;2016;04;11;40538.48611111111;40683.01388888889;40912.23611111111;41151.72222222222
686;2016;04;12;40286.166666666664;40427.76388888889;40647.875;40869.069444444445
747;2016;04;13;40087.305555555555;40244.26388888889;40682.97222222222;40876.666666666664
808;2016;04;14;40054.36111111111;40170.23611111111;40742.458333333336;40937.208333333336
869;2016;04;15;39831.083333333336;39849.26388888889;40612.02777777778;40739.319444444445
930;2016;04;16;38440.625;38474.194444444445;39556.708333333336;39801.708333333336
991;2016;04;17;37564.36111111111;37654.541666666664;38517.97222222222;38892.305555555555
1052;2016;04;18;39453.333333333336;39554.666666666664;40089.72222222222;40306.11111111111
1113;2016;04;19;39351.666666666664;39437.15277777778;39905.305555555555;40101.61111111111
1174;2016;04;20;39388.01388888889;39488.15277777778;39860.944444444445;40061.444444444445
1235;2016;04;21;39785.02777777778;39751.805555555555;40407.680555555555;40368.51388888889
1296;2016;04;22;39839.319444444445;39713.416666666664;40543.90277777778;40296.61111111111
1357;2016;04;23;38550.27777777778;38421.59722222222;39473.958333333336;39299.875
1418;2016;04;24;37434.958333333336;37514.61111111111;38363.569444444445;38548.65277777778
1479;2016;04;25;39317.73611111111;39330.88888888889;39891.13888888889;39980.63888888889
1540;2016;04;26;39094.069444444445;39244.930555555555;39652.430555555555;39847.555555555555
1601;2016;04;27;39240.069444444445;39162.09722222222;39928.52777777778;39886.819444444445
1662;2016;04;28;39129.72222222222;39102.041666666664;39880.5;39830.88888888889
1719;2016;04;29;38716.76388888889;38622.75;39435.083333333336;39389.291666666664
1774;2016;04;30;37156.51388888889;37097.125;38141.98611111111;38202.375
20;2016;05;01;35210.48611111111;35658.083333333336;36179.958333333336;36780.34722222222
81;2016;05;02;35763.23611111111;35671.944444444445;36672.208333333336;36681.61111111111
142;2016;05;03;36287.26388888889;36235.208333333336;37216.26388888889;37194.0
203;2016;05;04;37413.97222222222;37713.430555555555;37807.0;38111.305555555555
264;2016;05;05;37313.23611111111;37435.61111111111;37758.5;37938.194444444445
325;2016;05;06;36816.05714285714;37033.583333333336;37237.91428571429;37501.180555555555
386;2016;05;07;34321.666666666664;35485.055555555555;34906.666666666664;36370.375
447;2016;05;08;35215.84722222222;35141.680555555555;35902.444444444445;35968.77777777778
508;2016;05;09;34778.125;34794.805555555555;35609.65277777778;35773.52777777778
569;2016;05;10;36808.86111111111;36833.23611111111;37127.541666666664;37231.52777777778
630;2016;05;11;37340.38888888889;37186.430555555555;37767.61111111111;37655.38888888889
691;2016;05;12;37535.01388888889;37510.88888888889;37800.291666666664;37857.916666666664
752;2016;05;13;37615.88888888889;37529.944444444445;37859.13888888889;37835.458333333336
813;2016;05;14;36235.069444444445;36111.38888888889;36720.65277777778;36628.541666666664
874;2016;05;15;35798.72222222222;35726.791666666664;36160.541666666664;36126.180555555555
935;2016;05;16;37839.444444444445;37855.25;38192.86111111111;38259.36111111111
996;2016;05;17;37600.09722222222;37662.305555555555;37954.805555555555;38051.76388888889
1057;2016;05;18;37511.875;37514.52777777778;37771.59722222222;37859.944444444445
1118;2016;05;19;37463.680555555555;37470.625;37779.180555555555;37794.63888888889
1179;2016;05;20;37232.125;37238.791666666664;37661.52777777778;37624.97222222222
1240;2016;05;21;35797.97222222222;35736.583333333336;36431.01388888889;36387.041666666664
1301;2016;05;22;34917.833333333336;35009.90277777778;35634.77777777778;35797.194444444445
1362;2016;05;23;36626.583333333336;36736.61111111111;37097.36111111111;37236.375
1423;2016;05;24;36700.791666666664;36758.65277777778;37173.791666666664;37267.75
1484;2016;05;25;36684.97222222222;36716.59722222222;37237.34722222222;37244.305555555555
1545;2016;05;26;36712.833333333336;36627.90277777778;37236.76388888889;37158.430555555555
1606;2016;05;27;36689.5;36682.47222222222;37243.5;37206.125
1667;2016;05;28;35111.88888888889;35178.34722222222;35958.15277777778;36050.944444444445
1724;2016;05;29;34503.944444444445;34544.083333333336;35464.916666666664;35489.694444444445
1779;2016;05;30;36432.51388888889;36517.76388888889;36977.055555555555;37051.01388888889
1829;2016;05;31;36279.38888888889;36368.59722222222;36787.458333333336;36897.430555555555
25;2016;06;01;36257.333333333336;36317.625;36732.59722222222;36836.90277777778
86;2016;06;02;36210.27777777778;36290.180555555555;36654.208333333336;36821.09722222222
147;2016;06;03;36090.625;36168.569444444445;36520.569444444445;36631.555555555555
208;2016;06;04;34736.34722222222;34751.34722222222;35385.59722222222;35414.86111111111
269;2016;06;05;34319.819444444445;34296.041666666664;34924.65277777778;34948.958333333336
330;2016;06;06;36392.01388888889;36300.083333333336;36529.333333333336;36437.875
391;2016;06;07;36646.166666666664;36673.98611111111;36927.65277777778;36776.51388888889
452;2016;06;08;36632.65277777778;36660.416666666664;37036.26388888889;37052.22222222222
513;2016;06;09;36554.86111111111;36512.666666666664;36925.666666666664;36899.583333333336
574;2016;06;10;36405.40277777778;36291.02777777778;36725.305555555555;36567.72222222222
635;2016;06;11;35130.180555555555;34968.583333333336;35774.13888888889;35608.458333333336
696;2016;06;12;34328.944444444445;34288.90277777778;35027.708333333336;35011.166666666664
757;2016;06;13;34697.40277777778;34554.36111111111;35488.833333333336;35371.38888888889
818;2016;06;14;36135.416666666664;36197.583333333336;36536.569444444445;36671.76388888889
879;2016;06;15;36307.73611111111;36350.72222222222;36675.84722222222;36745.583333333336
